j1,j2,j3,j4,j5,j6
1.99,-1.71,-1.833,-1.309,1.571,0.0
1.972,-1.71,-1.833,-1.309,1.571,0.0
1.972,-1.71,-1.833,-1.309,1.571,0.0
1.99,-1.71,-1.833,-1.309,1.571,0.0
1.99,-1.693,-1.833,-1.344,1.571,0.0
1.99,-1.658,-1.833,-1.344,1.571,0.0
2.129,-1.449,-2.059,-1.344,1.484,0.0
2.129,-1.466,-2.059,-1.379,1.484,0.0
1.937,-1.606,-1.972,-1.187,1.798,0.0
1.937,-1.606,-1.972,-0.995,1.798,0.0
1.937,-1.658,-1.972,-0.995,1.798,0.0
1.833,-1.658,-1.972,-0.995,1.798,0.0
1.833,-1.641,-1.972,-0.995,1.745,0.0
1.902,-1.641,-1.972,-0.995,1.745,0.0
1.902,-1.641,-1.972,-0.995,1.71,0.0
1.92,-1.588,-1.972,-1.117,1.71,0.0
1.92,-1.588,-1.972,-1.117,1.641,0.0
1.92,-1.588,-1.972,-1.117,1.71,0.0
1.92,-1.588,-1.972,-1.117,1.658,0.0
1.972,-1.588,-1.972,-1.117,1.658,0.0
1.972,-1.623,-1.972,-1.117,1.658,0.0
1.972,-1.623,-1.972,-1.117,1.658,0.0
1.972,-1.623,-1.972,-1.169,1.658,0.0
1.972,-1.571,-1.972,-1.309,1.658,0.0
1.972,-1.623,-1.972,-1.1,1.658,0.0
1.972,-1.641,-1.972,-1.1,1.763,0.0
1.972,-1.641,-1.972,-1.1,1.745,0.0
1.92,-1.623,-1.972,-1.1,1.641,0.0
1.937,-1.623,-1.972,-1.1,1.641,0.0
1.972,-1.623,-1.972,-1.1,1.641,0.0
2.007,-1.623,-1.972,-1.1,1.641,0.0
1.955,-1.536,-1.972,-1.222,1.641,0.0
1.972,-1.536,-1.972,-1.222,1.641,0.0
1.972,-1.536,-1.972,-1.169,1.641,0.0
1.972,-1.536,-1.972,-1.344,1.641,0.0
