timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,ux,uy
1744752119.713367,"-0.15,-0.11,-0.03,-0.01,-0.09,0.02,3.30,165.12,-8.77,0.00,0.00"
1744752119.735904,"-0.14,-0.14,-0.05,-0.03,-0.11,-0.01,3.28,165.11,-8.81,0.00,0.00"
1744752119.7589421,"-0.13,-0.10,-0.02,0.01,-0.13,-0.03,3.33,165.08,-8.82,0.00,0.00"
1744752119.782858,"-0.10,-0.12,-0.03,-0.06,-0.06,-0.05,3.25,165.15,-8.84,0.00,0.00"
1744752119.8058543,"-0.10,-0.13,-0.04,-0.13,-0.11,-0.02,3.18,165.10,-8.82,0.00,0.00"
1744752119.828758,"-0.11,-0.13,-0.02,-0.05,-0.08,-0.04,3.26,165.14,-8.84,0.00,0.00"
1744752119.8517683,"-0.11,-0.12,-0.02,-0.07,-0.10,-0.05,3.24,165.12,-8.85,0.00,0.00"
1744752119.8737507,"-0.09,-0.11,-0.04,-0.07,-0.08,-0.02,3.24,165.13,-8.81,0.00,0.00"
1744752119.8970447,"-0.10,-0.11,-0.02,-0.02,-0.09,-0.01,3.29,165.13,-8.80,0.00,0.00"
1744752119.9207413,"-0.12,-0.11,-0.02,-0.02,-0.09,-0.02,3.29,165.12,-8.81,0.00,0.00"
1744752119.9432716,"-0.11,-0.12,-0.04,-0.10,-0.09,-0.03,3.21,165.12,-8.83,0.00,0.00"
1744752119.9658053,"-0.12,-0.17,-0.01,-0.09,-0.12,-0.04,3.22,165.09,-8.84,0.00,0.00"
1744752119.9893749,"-0.13,-0.15,0.02,-0.05,-0.08,-0.01,3.26,165.13,-8.80,0.00,0.00"
1744752120.0114934,"-0.11,-0.13,0.01,-0.01,-0.06,-0.02,3.30,165.15,-8.81,0.00,0.00"
1744752120.0344446,"-0.11,-0.12,-0.03,-0.01,-0.12,-0.04,3.30,165.09,-8.83,0.00,0.00"
1744752120.0589373,"-0.13,-0.16,-0.02,-0.01,-0.14,-0.01,3.30,165.07,-8.81,0.00,0.00"
1744752120.0814672,"-0.13,-0.12,-0.02,-0.04,-0.08,-0.02,3.27,165.13,-8.82,0.00,0.00"
1744752120.1052625,"-0.07,-0.11,-0.00,-0.03,-0.08,-0.01,3.28,165.13,-8.81,0.00,0.00"
1744752120.126385,"-0.13,-0.09,-0.01,-0.05,-0.07,-0.01,3.26,165.14,-8.81,0.00,0.00"
1744752120.149396,"-0.16,-0.14,-0.00,-0.09,-0.11,-0.01,3.22,165.11,-8.81,0.00,0.00"
1744752120.171914,"-0.09,-0.10,0.01,0.00,-0.11,-0.03,3.31,165.11,-8.83,0.00,0.00"
1744752120.1959162,"-0.09,-0.12,-0.04,-0.04,-0.09,-0.00,3.27,165.12,-8.80,0.00,0.00"
1744752120.2189136,"-0.11,-0.10,-0.00,-0.06,-0.08,-0.05,3.26,165.13,-8.85,0.00,0.00"
1744752120.2409139,"-0.12,-0.08,0.02,-0.08,-0.11,-0.04,3.23,165.10,-8.84,0.00,0.00"
1744752120.2645128,"-0.10,-0.12,0.02,-0.03,-0.06,0.01,3.28,165.15,-8.79,0.00,0.00"
